date,EPU
2012/2/1,132
2012/3/1,104
2012/4/1,109
2012/5/1,152
2012/6/1,170
2012/7/1,130
2012/8/1,98
2012/9/1,124
2012/10/1,154
2012/11/1,162
2012/12/1,141
2013/1/1,188
2013/2/1,97
2013/3/1,109
2013/4/1,101
2013/5/1,73
2013/6/1,91
2013/7/1,68
2013/8/1,92
2013/9/1,94
2013/10/1,111
2013/11/1,82
2013/12/1,89
2014/1/1,104
2014/2/1,118
2014/3/1,111
2014/4/1,71
2014/5/1,90
2014/6/1,69
2014/7/1,62
2014/8/1,132
2014/9/1,176
2014/10/1,96
2014/11/1,87
2014/12/1,122
2015/1/1,136
2015/2/1,119
2015/3/1,131
2015/4/1,170
2015/5/1,141
2015/6/1,149
2015/7/1,136
2015/8/1,86
2015/9/1,135
2015/10/1,90
2015/11/1,121
2015/12/1,83
2016/1/1,136
2016/2/1,191
2016/3/1,291
2016/4/1,197
2016/5/1,247
2016/6/1,504
2016/7/1,558
2016/8/1,311
2016/9/1,210
2016/10/1,270
2016/11/1,359
2016/12/1,196
2017/1/1,258
2017/2/1,194
2017/3/1,232
2017/4/1,169
2017/5/1,159
2017/6/1,319
2017/7/1,184
2017/8/1,151
2017/9/1,141
2017/10/1,184
2017/11/1,215
2017/12/1,161
2018/1/1,123
2018/2/1,110
2018/3/1,117
2018/4/1,102
2018/5/1,122
2018/6/1,105
2018/7/1,130
2018/8/1,122
2018/9/1,157
2018/10/1,183
2018/11/1,192
2018/12/1,240
2019/1/1,310
2019/2/1,197
2019/3/1,213
2019/4/1,136
2019/5/1,159
2019/6/1,150
2019/7/1,202
2019/8/1,239
2019/9/1,187
2019/10/1,233
2019/11/1,206
2019/12/1,271
2020/1/1,198
2020/2/1,140
2020/3/1,281
2020/4/1,185
2020/5/1,231
2020/6/1,168
2020/7/1,190
2020/8/1,177
2020/9/1,185
2020/10/1,189
2020/11/1,214
2020/12/1,208
2021/1/1,113
2021/2/1,138
2021/3/1,142
2021/4/1,95
2021/5/1,98
2021/6/1,90
2021/7/1,88
2021/8/1,79
2021/9/1,79
2021/10/1,104
2021/11/1,75
2021/12/1,175
2022/1/1,88
2022/2/1,81
2022/3/1,170
2022/4/1,123
2022/5/1,105
2022/6/1,119
2022/7/1,184
2022/8/1,124
2022/9/1,230
2022/10/1,400
2022/11/1,220
2022/12/1,168
2023/1/1,140
2023/2/1,121
2023/3/1,133
2023/4/1,133
2023/5/1,118
2023/6/1,118
2023/7/1,119
2023/8/1,116
2023/9/1,130
2023/10/1,108
2023/11/1,116
2023/12/1,121
2024/1/1,101
2024/2/1,114
2024/3/1,136
2024/4/1,103
2024/5/1,145
2024/6/1,147
2024/7/1,183
2024/8/1,117
2024/9/1,184
2024/10/1,274
2024/11/1,327
2024/12/1,221
2025/1/1,238
2025/2/1,219
2025/3/1,472
2025/4/1,498
2025/5/1,356
2025/6/1,355
2025/7/1,379
2025/8/1,261
